Datum;Auftrag #;Transaktionen;Symbol;Name;ISIN;Anzahl;Stückpreis;Kosten;Aufgelaufene Zinsen;Nettobetrag;Währung Nettobetrag;Nettobetrag in der Währung des Kontos;Saldo;Währung
31-12-2020 10:24:38;00000000;Dividende;VWRL;Vanguard All World ETF Dist;IE00B3RBWM25;1.0;40.98;0.00;0.00;40.98;USD;40.98;212.33;USD
31-12-2020 08:32:09;00000000;Dividende;VTI;VANGUARD TOTAL STOCK MARKET ET;US9229087690;1.0;132.91;39.88;0.00;93.03;USD;93.03;171.35;USD
28-12-2020 09:00:33;79254938;Kauf;VFEM;Vanguard EM ETF Dist;IE00B3VVMM84;57.0;59.64;16.95;0.00;-3'416.45;CHF;-3'416.45;399.55;CHF
24-12-2020 04:40:33;00000000;Vergütung;;;;1.0;3'500.00;0.00;0.00;3'500.00;CHF;3'500.00;3'816.00;CHF
14-12-2020 16:32:32;78846351;Kauf;VTI;VANGUARD TOTAL STOCK MARKET ET;US9229087690;22.0;192.04;36.34;0.00;-4'261.22;USD;-4'261.22;78.32;USD
14-12-2020 16:30:43;78846290;Kauf;FCAU;FIAT CHRYSLER AUTOMOBILES ORD;NL0010877643;460.0;16.91;41.67;0.00;-7'820.27;USD;-7'820.27;4'339.54;USD
14-12-2020 16:29:22;78845684;Verkauf;BABA;ALIBABA GROUP HOLDING ADR REP;US01609W1027;47.0;258.08;74.31;0.00;12'055.45;USD;12'055.45;12'159.81;USD
11-12-2020 10:32:50;00000000;Dividende;MSFT;MICROSOFT ORD;US5949181045;1.0;32.48;9.74;0.00;22.74;USD;22.74;104.36;USD
08-12-2020 18:02:55;00000000;Forex-Gutschrift;;;;1.0;2'117.80;0.00;0.00;2'117.80;USD;2'117.80;81.62;USD
08-12-2020 18:02:55;00000000;Forex-Belastung;;;;1.0;1'900.00;0.00;0.00;-1'900.00;CHF;-1'900.00;316.00;CHF
08-12-2020 16:23:24;78597608;Kauf;BABA;ALIBABA GROUP HOLDING ADR REP;US01609W1027;8.0;264.00;33.17;0.00;-2'145.17;USD;-2'145.17;-2'036.18;USD
08-12-2020 01:40:28;00000000;Vergütung;;;;1.0;2'000.00;0.00;0.00;2'000.00;CHF;2'000.00;2'216.00;CHF
05-12-2020 11:36:34;00000000;Interne Titelumbuchung;ROG;ROCHE GS;CH0012032048;85.0;0;0.00;0.00;-;CHF;-;0.00;CHF
05-12-2020 11:36:34;00000000;Interne Titelumbuchung;ROG;ROCHE GS;CH0012032048;-85.0;0;0.00;0.00;-;CHF;-;0.00;CHF
27-11-2020 22:17:01;00000000;Fx-Gutschrift Comp.;;;;1.0;2'608.20;0.00;0.00;2'608.20;CHF;2'608.20;216.00;CHF
27-11-2020 22:17:01;00000000;Fx-Belastung Comp.;;;;1.0;2'910.25;0.00;0.00;-2'910.25;USD;-2'910.25;108.99;USD
27-11-2020 16:49:57;78249110;Kauf;VTI;VANGUARD TOTAL STOCK MARKET ET;US9229087690;26.0;188.28;37.34;0.00;-4'932.62;USD;-4'932.62;3'019.24;USD
27-11-2020 15:36:39;78236222;Kauf;VWRL;Vanguard All World ETF Dist;IE00B3RBWM25;28.0;93.28;15.75;0.00;-2'627.60;CHF;-2'627.60;-2'392.20;CHF
27-11-2020 15:34:38;78235620;Kauf;BABA;ALIBABA GROUP HOLDING ADR REP;US01609W1027;9.0;278.29;34.61;0.00;-2'539.22;USD;-2'539.22;7'951.86;USD
27-11-2020 15:30:01;78199246;Verkauf;BLV;VANGUARD LONG TERM BOND ETF;US9219377937;92.0;113.04;70.83;0.00;10'328.85;USD;10'328.85;10'491.08;USD
25-11-2020 16:55:32;78156967;Verkauf;KNDI;KANDI TECHNOLOGIES GROUP ORD;US4837091010;13.0;13.72;16.13;0.00;162.23;USD;162.23;162.23;USD
23-11-2020 22:16:48;00000000;Fx-Gutschrift Comp.;;;;1.0;20.03;0.00;0.00;20.03;USD;20.03;0.00;USD
23-11-2020 22:16:48;00000000;Fx-Belastung Comp.;;;;1.0;18.45;0.00;0.00;-18.45;CHF;-18.45;235.40;CHF
23-11-2020 17:20:30;78032261;Kauf;KNDI;KANDI TECHNOLOGIES GROUP ORD;US4837091010;13.0;14.48;16.13;0.00;-204.37;USD;-204.37;-20.03;USD
18-11-2020 16:18:12;77848463;Kauf;FCAU;FIAT CHRYSLER AUTOMOBILES ORD;NL0010877643;380.0;15.06;38.58;0.00;-5'761.38;USD;-5'761.38;184.34;USD
18-11-2020 16:16:26;77848361;Verkauf;AAPL;APPLE ORD;US0378331005;50.0;118.61;39.88;0.00;5'890.62;USD;5'890.62;5'945.72;USD
13-11-2020 07:04:23;00000000;Dividende;AAPL;APPLE ORD;US0378331005;1.0;10.25;3.08;0.00;7.17;USD;7.17;55.10;USD
05-11-2020 12:15:12;00000000;Dividende;BLV;VANGUARD LONG TERM BOND ETF;US9219377937;1.0;24.20;7.26;0.00;16.94;USD;16.94;47.93;USD
03-11-2020 17:12:22;00000000;Forex-Gutschrift;;;;1.0;560.18;0.00;0.00;560.18;CHF;560.18;253.85;CHF
03-11-2020 17:12:22;00000000;Forex-Belastung;;;;1.0;620.00;0.00;0.00;-620.00;USD;-620.00;30.99;USD
